original,result
0010111101101011,ok
1100101010001000,fail
1100111010010011,fail
0011000011001110,ok
0110011001100100,ok
1000000011110001,fail
1000101111101001,fail
1010110110001000,ok
1011110111001000,fail
0000001000111100,ok
0101110100100001,fail
0000000100001001,ok
0110101001101110,ok
0100110111100010,ok
0110001100110011,ok
0000111000000111,ok
0100101111010000,fail
0110000110111100,ok
1001000100110000,fail
1000111111000010,fail
0110001111010100,fail
1010011001000011,ok
0101110110110110,ok
1010101101001000,ok
0010010100010110,ok
0010111100010100,ok
1011001011111011,ok
1101101010010110,ok
1110010000001010,ok
0110111100111111,ok
1000001111011111,fail
1001011110111100,fail
1101110011000001,fail
0111100001001000,ok
0011000111001111,fail
0110001000110001,ok
0011100111010101,ok
0000000010011101,fail
1000000101110100,fail
1111010001100011,ok
1111110001100111,ok
1010000011111110,fail
0001001101110010,ok
1100111100100110,ok
1001111111110110,ok
1111101001011011,ok
1001101111111011,ok
1000100001111101,fail
0101100011100100,fail
0110010100110100,ok
0110010001100111,fail
1101011001011101,fail
1001000111101001,ok
1000010101101101,ok
0110011011100000,fail
1001101110000011,fail
1001001011110110,fail
0001001110101101,ok
0000111000001001,ok
0111100001101010,fail
0101111011100001,fail
1000101001111100,fail
0001010000001111,fail
0001010100001001,fail
1001011001110100,ok
0011010100100011,ok
1000110101110100,fail
0111010111100111,fail
1011110101000110,ok
1001010011000011,fail
0001110100001100,fail
0110111100111110,ok
0000111110011111,fail
0001001110100011,ok
0010111100011100,ok
0010010000001101,ok
1101011010110110,fail
1101100111000001,ok
0010110000111111,fail
0010000101011010,ok
1101111110111110,ok
1100000100010000,fail
0100010110000011,fail
1110111011001101,ok
0011101001100110,fail
1011100110000001,fail
0000111101100111,ok
0100010011101100,fail
1011010111110011,fail
1110000110010010,ok
0011011001011100,ok
0001101011010001,fail
1110011100000110,fail
0111010101000100,ok
1101001000011110,ok
1010010111100111,ok
1100110000000100,ok
0011111100101011,fail
0010001110101101,fail
1011110000100110,fail
1111001101011101,ok
0101011110001010,fail
1010111011101011,ok
1101000011111001,ok
0011111001101101,fail
0011001111101000,ok
1101000111111010,ok
1101001000000101,ok
0111101001001001,ok
1011100111111000,ok
1110110111111101,fail
1110011010001100,ok
0101000101100101,fail
1110110111111001,fail
1111100010011011,ok
0101101001100110,fail
0110111100111101,ok
0011001111010001,fail
0110000001100100,ok
0010011000011010,ok
1100010111001111,fail
0000100101000011,fail
0110111000111011,ok
0010101000001101,fail
1100010110001001,ok
0111010101000010,ok
1100100011010100,ok
1001001011100111,ok
1111001001011110,ok
0000001001000100,fail
1001101101110101,fail
1000010011101000,fail
1010000101111011,ok
1000110000010100,ok
1100011101000101,fail
1001010010111010,ok
1001000011101110,fail
1110110101011100,fail
0011100000010100,ok
1001100110110000,fail
1011110100100100,fail
1001000000010001,ok
1001111110111111,fail
1101001000110011,fail
0110001110011000,fail
0110111100001100,fail
1001101111100001,fail
1010101011110000,ok
0100110000101000,ok
0100010101100111,ok
1111010011000111,fail
1111100010110011,fail
0010000000100111,ok
1100011111000000,ok
1100111100100010,ok
0101011010000110,fail
0110110100000100,ok
0000111001010001,ok
1110111000101010,fail
0001111010101011,fail
1100111100000001,fail
0100110101101000,fail
1110100000000000,fail
0100110101100100,fail
1110101010011100,ok
0011000110101110,fail
1110000010010100,ok
0010101110110101,ok
0111011101000100,ok
0011111100011010,fail
0111100101000110,fail
0010011010101001,ok
0010101101101000,ok
1011011011101010,ok
0011010111010011,ok
0000001010010111,fail
0110010101100010,fail
0110011101100100,fail
1011101111010011,fail
1000100010100011,fail
0110110000110111,ok
0110010001100010,fail
0000110010011111,ok
0111011010111010,fail
1010010000101110,fail
1011110101110000,fail
0101000100001000,fail
0111100111100100,fail
1100001001001001,fail
1101000101011000,fail
1010010101111000,ok
0110111000111001,ok
0000100110011010,ok
0001011100001110,ok
0001111100001001,fail
0111000000111011,ok
1010100010111100,ok
0011011100010110,fail
1011000101111010,fail
0001101101100110,ok
1111010011011001,ok
0011100100010110,fail
1011010111101111,ok
1101110111110110,ok
1110000101010111,ok
1101111111010001,ok
0111011001000001,ok
0010100000001011,ok
1001000011011111,ok
0100101000100011,fail
0010101110110100,ok
0101010111100000,fail
0011000110111010,ok
1100100110000010,fail
1110001110001011,fail
1001100111100010,fail
1110000001000111,fail
0101110010011000,fail
0110100000001100,fail
0100010000100001,ok
1101100110010011,fail
0011000001011101,fail
1100110011110011,fail
0011010001100111,ok
1101110010001011,fail
1100110011101111,fail
1101101111111110,ok
0101111000101101,ok
0111110101001000,ok
0010011111011101,ok
1110110010011000,ok
1010110011100110,fail
0000011101011010,fail
1100011100011100,fail
1110110110011001,ok
0101011101100110,ok
1111101000001101,fail
0011100110111011,ok
0001101100001101,fail
