original,result,corrected
0101110100010111001000110110101010100101101110,ok,
1101110000010110001000110110101010100101101110011010010111001101111010001100101011100100110010101100100,fail,1101110000010110001000110110101011100101101110011010010111001100111010001100101011100100110010101000100
11011100000101100010001101101010101001011011100110100101110011001110100011100100110000101110100011010010110111101101110,fail,11011100000101100010001101101010101001011011100110100101110011001110100011100100110000101110100011010010110111101101110
01001101000101110010001101101010101001011011100110100101110011001110100011100100110000101110100011010010111011001100101,fail,11001101000101110010001101110010101001011011100110100101110011001110100011100100110000101110100011010010111011001100101
100111000001011100100011011010111010010110111001101001011100110111101000111001001100001011101000110111101110010,fail,100111000001011100100011010010111010010110111001101001011100110111101000111011001100011011101000110111101110010
00011100000101100010001101101010101001011011100110100101110011001110100011100100110000101110100011011110111001001110011,fail,00011100000101100010001101101010101001011011100110100101110011001110100011100100110000101110100011011110111001001110011
0101110000010110001000110110101110100101110011011100110110100101110111101101110,ok,
110111000001011100100011011010111010010111001101110011011010010011011110110111001110011,ok,
0100110000010111001000110110101110100101110100,ok,
00001100000101110010001101101011101001011101000111010001100101011100100,ok,
0100110100010110001000110111101010001001100101,ok,
010011000001011100100011011110101011000110010101110011011000110111001010110111001110100,fail,010011000001011100100011011110101011000110010101110011011000110111001010110111001110100
1000110100010110001000110111101011000001110100,ok,
11011100000101110010001101111011110000011101000110010101100100,ok,
00011101000101100010001101111010110000011101000110100101101111011101110,fail,00011101000101100010001101111010110000011101000110100101101111011101110
000011000001011100100011100100111010010110000101101110,ok,
01001101000101100010001110011,fail,01101101000101101110001110011
11001100000101110010001110011011101100,ok,
1100110000010111001000111010101110110001110100,fail,1100110000010111001000101010001110010101110100
110011000001011000100011101010101011000111010001110011,fail,110001000001011000100010101000101011000111010001110011
01011101000101110010001110110011100001011011100110001101100101,fail,01011101000101110010001110110011100001011011100110001101100101
00001101000101110010001110110011100001011011100110001101100101011100100,fail,00011101000101110010001110110011100001011011100110001101100101010100000
11001101000101100010001110110011100001011011100110001101100101001101101011001010110111001110100,ok,
11011101000101110010001110110011100001011011100110001101100101011110011,fail,11011101000101110010001110110011100001011011100110001101100101011110011
1000110000010110001000111011001010000101101110011101000110000101110011101100101,fail,1000110000010110001000111011001010000101101110011101000110000101110011101100101
000011000001011100100011101100101000010110111001110100011000010011001110110010101110011,ok,
0100110000010110001000111011001110010101101110011101000111010100111001001100101,fail,0100110000010110001000111011001110010101101110011101000111010100111001001100101
110011000001011100100011101100111001010110111001110100011101010111100100110010101110011,ok,
10011100000101100010001110110010100101011100100111001101100101,ok,
100011000001011100100011101100111001010111001001110100,ok,
1001110000010111001000111011001110010101110010011101000110100101111001101100101,ok,
000011000001011000100011101100101001010111001001110100011010010111100110110010101101101011001010110111001110100,fail,000011000001011000100011101100101001010111001001110100011010010111100110110010101101101011001010110111001110100
10001100000101110010001110110011100101011100100111010001101001001110011011001010110110101100101011011100111010001110011,fail,10001100000101110010001110110011100101011100100111010001101001001110011011001010110110101100101011011100111010001110011
110011000001011100100011101100111001010111001001110100011010010111100110110010101110010,fail,110011000001011100100011101100111001010111001001110100011010010111100110110010101110010
01001101000101100010001110110011100101011100100111010001101001001110011011001010111001001110011,fail,01001101000101100010001110110011100101011100100111010001101001001110011011001010111001001110011
11011101000101110010001110110011100101011100100111010001101001011110011011010010110111001100111,fail,11011101000101110010001110110011100101011100100111010001101001011110011011010010110111001100111
010111000001011100100011101100111010010110001101100101,ok,
000111010001011100100011101100101010010111001101100101,fail,000111011001001100100011111110101010010111001101100101
10001100000101100010001110110011101001011100110110010101100100,ok,
00011101000101110010001110110010101001011100110110111101110010,ok,
10011101000101110010001110110010101001011100110110111101110010011110011,fail,10011101000101110010001110110010101001011100110110111101110010011110011
11011101000101110010001110110010101001011100110110111101110010011111001,fail,11011101000101110010001110110010101001011100110110111101110010011111001
01001100000101100010001110110010101111011000110110000101100011011111001,ok,
10011100000101100010001110110010101111011000110110000101110100001100101,fail,10011100000101100010001110110010101111011000110110000101110100001100101
000111010001011000100011101110101000010111001001100101,ok,
000011010001011000101,ok,
000011000001011100101011100100101010010110000101101100,ok,
1101110100010111001010111001001010111101110011011100000110000100110001101100101,fail,1101110100010111001010111001001010111101110011011100000110000100110001101100101
100011010001011000110,ok,
110011010001011100110011001100101000010110100101110010,ok,
11001100000101100011001100110011100001011010010111001001110011,ok,
000011010001011100110011001100111001010110001101110100,fail,000011010001011100110011001100111001010110001101110100
10011101000101110011001100110011100101011000110111010001100101011100100,fail,10011100000101111011001110110011100101011000110111010001100101011100100
1101110000010111001100110011001110010101100011011101000110100100110111001100111,fail,1101110000010111001100110011001110010101100011011101000110100100110111001100111
00001100000101100011001100110010100101011000110111010001110011,fail,00001100000101100011001100110010100101011000110111010001110011
1100110000010110001100110011001010100101101100011010010110000100111010001100101,ok,
100111000001011100110011001100101010010110110001101001011000010111101000110010101100100,fail,100111000001011000110001001100101010010110110001101001011100110111101000110010101100100
010011000001011100110011001100101010010110110001101001011000010111101000110010101110011,fail,010011000001011100110011001100101010010110110001101001011000010111101000110010101110011
10011101000101110011001100110010101001011011000110100101100001011110100011010010110111101101110,fail,100111110001011100110011001100101010010111110001101001011000010111101000110100101101111001011100
000011010001011000110011001100101011110111001001100100,ok,
100011000001011100110011001100111011110111001001100100011000010111000100110110001100101,fail,100010000001011100110011001100111011110110011001100100011000010111000100110110001100101
10011100000101110011001100111010101000011000010110111001101001011110011011101000110000101101110,fail,10011101000101110011001100111110101000011000010110111001101001010110011011101000110000001101110
010011010001011000110011100100111000010110100101100100,ok,
100111010001011000110011100100101010010110001101100001,fail,1001110100010100001100111001001010100101100011001000010
01011100000101110011001110010011101001011000110110000101101110,ok,
0101110100010111001100111010001110010101110010,ok,
1101110000010110001100111010001010010101110010011011100110111101110111101101110,ok,
000111010001011100110011101000101001010111001001110111011000010011100100110010001110011,fail,000111010001011100110011101000101001010111001001110111011000010011100100110010001110011
000111010001011100111,fail,000111010001011100111
0101110100010111001110110000101010100101101110,ok,
10001101000101100011101100001011101001011011100111001101110100,fail,10001101000101100011101100001011101001011011100111001101110100
10011100000101110011101100101,ok,
11011101000101100011101100101010100100,ok,
10011101000101100011101100101010101110011000110110100101100101011110011,ok,
100111010001011100111011001010111011100110001101111001,ok,
110011000001011100111011001010101011100110010001100001,ok,
0101110100010110001110110010101010111001110100,fail,0101110000010110001110110010101000111001010100
010111010001011100111011001010111011100111010001110011,ok,
01001101000101100011101100101010110011,ok,
0101110100010111001110110011101111001001100101011001110110000100111010001100101,fail,0101110100010111001110110011101111001001100101011001110110000100111010001100101
100011000001011100111011001110111100100110010101110011011100110111010010111011001100101,fail,100011000001011100111011001110111100100110010101110011011100110111010010111011001100101
0101110000010110001110110100101110111001100111,ok,
11001100000101110011101101111,fail,11001100000101110011101101111
1000110100010110001110111001001110010101100101,ok,
000111010001011100111011100100101001010110010101100100,ok,
1100110100010111001110111001001010010101100101011011010110010101110111001110100,fail,1100110100010111001110111001001010010101100101011011010110010101110111001110100
010011010001011000111011100100101001010110010101101101011001010011011100111010001110011,ok,
100011010001011100111011100100101001010110010101110011,fail,100011010101011000111011110100101001010110010101110011
1101110100010110001110111001001010100101100011011101010110110000111010001110101011100100110000101101100,ok,
00001100000101110011101110010010101001011000110111010101101100011110100011101010111001001100101,fail,00001100000101110011101110010010101001011000110111010101101100011110100011101010111001001100101
000111010001011101000,ok,
0000110000010110010000110010101110000101100100,ok,
100011010001011001001,ok,
10011101000101110100101100100,ok,
01001100000101100100101100100010110011,fail,01001100000101100100101100100010110011
01001101000101110100101101101,fail,01001101000101110100101101101
1100110100010110010010110110101010010101100100,ok,
10011100000101100100101101101010110011,ok,
11001100000101100100101110010,ok,
01001101000101100100101110010010100011011100100110000101100110001110100,fail,01000101000101100100101110010010100011011100100110000101000010001110100
01011100000101110100101110010010100110011000010111001001100101,fail,01011100000101111100101110010000100010011100010111001001100101
01011101000101100100101110010010101100011010010110111001100101,fail,01011101000101100100101110010010101100011010010110111001100101
11011101000101100100101110010010101100011010010110111001100101011110011,ok,
00011100000101110100101110010010110000011011000110000101101110001100101,fail,00011100000101110100101110010010110000011011000110000101101110001100101
11001101000101110100101110010010110000011011110111001001110100,fail,11001101000101110100101110010010110000011011110111001001110100
01001101000101110100101110010010110000011011110111001001110100011110011,ok,
000011010001011001010,ok,
100111010001011101011,fail,100111010001011101011
11011101000101100101101100001,ok,
110111010001011001100,ok,
10011101000101110110001100001,ok,
01011100000101100110001100001011100010011000010110110101100001,ok,
10001100000101100110001100001010101110,ok,
0001110100010110011000110000101011001001101101,ok,
000111010001011101100011000010101100110110101101100001,ok,
00011100000101110110001100010010100001011011100110100101100001,fail,00011100000101110110001100010010100001011011100110100101100001
100011010001011101100011000100101000010110111001111001,ok,
100011000001011001100011000100111001010111001001110100,fail,100011000011011001100011000100101001010111101001110100
01011101000101110110001100010010100101011100100111010001100001,ok,
0100110100010110011000110001001111010101101101,ok,
010011010001011101100011000100101101010110110101110011,ok,
11011100000101100110001100010011110101011100010111010101100101011110010011100010111010101100101,fail,11011100000101100110001100010011110100011100010111000101100101011110010001100010111010101110101
01001100000101110110001100011010101111011010000110111101101100,fail,01001100000101110110001100011010101111011010000110111101101100
0000110100010111011000110010101111001001110100,ok,
000011010001011001100011001010101100100111010001110011,fail,000011110001011001100011001010101100100110011001110011
10001101000101110110001100101011111000,ok,
1101110100010111011000110010101011100001100001011011100110010000110010101110010,ok,
010011010001011001100011001010101110000110000101101110011001000111100100110100101100001,ok,
000011010001011001100011001100101100100110010101100100,ok,
11001100000101110110001100111011100101011000100111001001100001,fail,11001100000101110110001100111011100101011000100111001001100001
11001101000101110110001100111010100101011100100110100101100001,fail,11000101000101110110001100111010000001011100100110100101100001
1101110100010110011000110011101110111101110010011010010111010000110100001101101,ok,
010111010001011101100011001110111011110111001001101001011101000111010000110110101110011,ok,
11011100000101100110001101001,ok,
1101110000010111011000110100101110000101110011,fail,1101110000010111011000110100101110000101110011
1000110100010111011000110100101110001101100101,fail,1000110100010111011000110100101110001101100101
0000110000010111011000110100101010010101101110,fail,0000110000010111011000110100101010010101101110
1001110000010111011000110100101110011101101110,ok,
1101110000010110011000110100101010011101101110011011010110010101110111001110100,fail,1001110101010110011000110100101010011101101110011011010110010101110111001110100
0100110100010111011000110100101010101101100101,ok,
1000110100010111011000110100101011011001100101,fail,1000110100010111011000110100101011011001100101
10001100000101100110001101100,fail,10001100000101100110001101100
1100110000010111011000110110001110000101101000,fail,1100110000010111011000110110001110000101101000
0100110000010111011000110110001110000101101110,fail,0100110000010111011000110110001110000101101110
10011101000101100110001101100011100101011001110110010101100100,fail,10011101000101100110001101100011100101011001110110010101100100
0101110000010111011000110110001010010101101110,ok,
11001100000101110110001101100011100101011100100110011101111001,ok,
10011100000101100110001101100011101001011000010110111001100011001100101,ok,
000111010001011001100011011000101010010110010101100100,ok,
0101110000010110011000110110001010111101100011011000010111010001110010101100100,fail,0101110000010110011000110110001010111101100011011000010111010001110010101100100
010111010001011101100011011000101011110110001101100001011101000111010010110111101101110,fail,0101110100010111011000110110001010111001100011011000010111010001110100101101111011001100
1101110100010111011000110110001110111101110111,ok,
0000110000010111011000110110001110111101110111011000010110111000110001101100101,fail,00001100000101110110001101100011101111011100110110000101101110001100011011011010
10001100000101100110001101100010101111011101110110010101100100,fail,10001100000101100110001101100010101111011101110110010101100100
11011100000101100110001101100010101111011101110110100101101110011100111,ok,
110111010001011001100011011000101011110111011101110011,ok,
1001110000010111011000110110001010111101111001,fail,10011100000101110110011101100010101111011110110
100011010001011001100011011010101011110111001101110100,ok,
1101110100010111011000110111101010111001100101,ok,
