original,result,corrected
1101110100010111000110110100001010100101100101011101100110100100110111001100111,fail,1101110100010111000110110100001010100101100101011101100110100100110111001100111
10011101000101110001101101001010100100,ok,
1001110000010111000110110100101110010001110011,ok,
10001101000101110001101101011010101110011011110111011101101100001100101011001000110011101100101,fail,10001101000101010001101101011010101110011011110111011101101100000100101011001100110011101100101
1101110100010111000110110101101110111001101111011101110110110001110010101100100011001110110010101100100,fail,1101110100010111000110110101101110111001101111011101110110110001110010101100100011001110110010101100100
00011101000101110001101101101,ok,
10001100000101100001101101110011100101,fail,10001100000101100001101101110011100101
11011100000101110001101101111011110101011100110111010001101001001100011,fail,11011100000101110001101101111011110101011100110111010001101001001100011
11001101000101110001101110001010110101011010010111001001100101,ok,
10011101000101110001101110001010110101011010010111001001100101011100100,fail,10011101010101110001101010001010110101011000010111001001000101011100100
00001100000101110001101110001011110101011010010111001101101001011110100011010010110111101101110,ok,
1000110000010111000110111000101011010101101001011100110110100100111010001101001011011110110111001110011,ok,
10001101000101110001101110010011100101,fail,10001101000101110001101110010011100101
1000110000010111000110111001001010010101110011,ok,
11001100000101100001101110010011101111011000100110000101110100,ok,
110111000001011000011011100100111011110111001101110011,ok,
00011101000101110001101110010010111001011011000110100101100011,ok,
01001100000101100001101110100,ok,
000111000001011000011011101000111010010110111001100111,fail,000111000001011000011011101000111010010110111001100111
110111010001011000011011101000101010010110111101101110,fail,110111010001011000011011101000101010010110111101101110
11011100000101110001101110100011101001011011110110111001110011,ok,
0001110100010110000110111010001110100101110110011000010111010001110010101100100,ok,
000111000001011100011011101000111010010111011001100001011101000111010010110111101101110,fail,000111000001011100011011101000111010010111011001100001011101000111010010110111101101110
000011000001011100011011101000101010010111011001100101,ok,
10011100000101110001101110100010101001011101100110010101101100011111001,ok,
1100110000010110000110111010001110100101110110011010010111001101111010001110011,fail,1100110000010110000110111010011110000101110110011010010111000101111010001110011
000011000001011000011011101000101010010111011001101001011101000111010010110010101110011,ok,
11001100000101110001101110100010101001011101100110100101110100011111001,ok,
0101110100010111000110111010001110111101110010,fail,0101110100010111000110111010001110111101110010
010111010001011000011011101000101011110111001001110011,fail,010111010001011000011011101000101011110111001001110011
00001100000101110001101110100011110010011001010111001101110011,ok,
10011101000101110001101110100010110011,ok,
100111000001011100011011101000111101010110000101101100,fail,100111000001011100011011101000111101010110000101101100
00001100000101110001101110100011110101011000010110110001101100011111001,fail,00001100000101110001101110100011110101011000010110110001101100011111001
0001110000010110000110111010101111010001100101,ok,
100111010001011100100,ok,
11011101000101100010001100001,ok,
00001100000101110010001100001010101101,fail,00001100000101110010001100001010101101
0000110100010111001000110000101110110101110011,ok,
110011000001011100100011000010111100000111010001100001011101000111010010110111101101110,ok,
01001101000101100010001100001011110000011101000110010101100100,ok,
10001100000101110010001100001010110000011101000110010101110010,fail,10001100000101110010001100001010110000011101000110010101110010
00001100000101110010001100001010110000011101000110010101110010011110011,ok,
11001101000101100010001100001011110000011101000110100101110110001100101,fail,11001101000101100010001100001011110000011101000110100101110110001100101
11011100000101110010001100001010110000011101000110111101110010,fail,11011100000101110010001100001010110000011101000110111101110010
10001101000101100010001100100,fail,10001101000101100010001100100
0000110100010111001000110010001010010101100100,ok,
0001110100010111001000110010001110100101100011011101000110100101110111101101110,fail,0001110100010111111000110010001110100101100011011101000010000101110111101101110
110111010001011000100011001000111010010110111001100111,fail,110111010001011000100011001000111010010110111001100111
00001100000101110010001100100011101001011101000110100101101111011101110,ok,
010111010001011100100011001000111010010111010001101001011011110011011100110000101101100,fail,010111010001011100100011001000111010010111010001101001011011110011011100110000101101100
1101110100010111001000110010001010100101110100011010010110111101110111001100001011011000110110001111001,fail,1101111100010111001000110010001010100101110100011010010110111101110111001111001011011000110110001111001
1000110100010111001000110010001110100101110100011010010110111100110111001110011,ok,
11001101000101110010001100100011110010011001010111001101110011,ok,
0001110000010111001000110010001111001001100101011100110111001101110010101100100,ok,
1100110000010111001000110010001111001001100101011100110111001101110010101110011,ok,
000011000001011000100011001000111100100110010101110011011100110011010010110111001100111,ok,
01011100000101110010001100100010110011,ok,
01001101000101110010001100101011101100011000010110100101100100001100101,fail,01001101000101110010001100101011101100011000010110100101100100001100101
01011100000101110010001100101011110001011101010110000101110100001100101,ok,
000011000001011100100011010010101001000110000101110011,ok,
010011010001011000100011010010101100000110010101111000,fail,010011010001011000100011010010101100000110010101111000
11001100000101110010001101010011100001011000110110010101101110001110100,fail,11001100000101110010001101010011100001011000110110010101101110001110100
100111000001011000100011010100111101010111001101110100,ok,
000111010001011100100011010100101101010111001101110100011000010111000100110110001100101,ok,
00001100000101100010001101010011110101011100110111010001100101011100100,ok,
100111000001011100100011010100101101010111001101110100011011010111001010110111001110100,ok,
00011101000101100010001101010010110101011100110111010001101101001100101011011100111010001110011,fail,00011101000101100010001101010010110101011100110111010001101101001100101011011100111010001110011
